Open,High,Low,Close,Adj Close,Volume
52,54,52,53.849998,53.849998,68566621
54.099998,57.599998,53.75,57.049999,57.049999,177088979
57.349998,59.099998,56.799999,58.599998,58.599998,141211050
58.349998,59.75,58,59,59,75478926
58.900002,61,57.549999,60.400002,60.400002,101329144
61,62.349998,60.049999,60.599998,60.599998,103004929
60.75,61.099998,60.150002,60.450001,60.450001,41506545
60.599998,61.700001,60.450001,61.400002,61.400002,51755516
61.799999,62.200001,58.150002,59.099998,59.099998,98250294
60,61,59.099998,60.700001,60.700001,50708803
60.799999,62.650002,60.400002,62.349998,62.349998,60868223
62.900002,63.25,61.299999,61.599998,61.599998,97038714
61.849998,64.5,61.599998,64.150002,64.150002,104017013
64.300003,65.150002,63.599998,63.849998,63.849998,97828765
63.799999,64.300003,62.299999,62.599998,62.599998,56213660
63.099998,63.799999,61.900002,62.099998,62.099998,56162634
62.450001,63,60.549999,60.700001,60.700001,61394039
61,63.75,60.150002,63.150002,63.150002,166000733
63.799999,63.900002,62.049999,62.400002,62.400002,95604140
62.5,62.849998,61.5,61.950001,61.950001,51987753
